Analyte_Abbreviation,Chemical_Name,CASRN,Treatment_Process,Test_Scale,Matrix,Matrix_Detail,Treatment_Temp_C,Treatment_Time,Condition_Details,Effectiveness_Percent,Effectiveness_Type,Measure_Details,Initial_Concentration,Initial_Details,Post_Concentration,Post_Details,Offgas_Concentration,Additional_Details,Citation,Treatment_Time_Minutes,Effectiveness_Percent_Numeric,Initial_Concentration_Numeric,Post_Concentration_Numeric,Offgas_Concentration_Numeric,Treatment_Success,Temperature_Category,Time_Category,In_Chemical_List,Standardized_Chemical_Name
PFOS,Perfluorooctylsulfonate,1763-23-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.309 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.05 µg/kg,Below detection limit,,Feed-3-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,83.81877022653723,0.309,0.05,,True,High,Short,True,Perfluorooctanesulfonic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.84 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.049 µg/kg,Below detection limit,,Feed-2-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,94.16666666666667,0.84,0.049,,True,High,Short,True,Perfluorooctanesulfonic acid
PFOS,Perfluorooctylsulfonate,1763-23-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,1.3 µg/kg,Analyzed after the TOP assay,<0.048 µg/kg,Below detection limit,,Feed-1-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,96.3076923076923,1.3,0.048,,True,High,Short,True,Perfluorooctanesulfonic acid
PFOA,Perflouorooctanoate,335-67-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.35 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.08 µg/kg,Below detection limit,,Feed-3-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,77.14285714285714,0.35,0.08,,False,High,Short,True,Perfluorooctanoic acid
PFOA,Perflouorooctanoate,335-67-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.531 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.079 µg/kg,Below detection limit,,Feed-2-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,85.12241054613936,0.531,0.079,,True,High,Short,True,Perfluorooctanoic acid
PFOA,Perflouorooctanoate,335-67-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.635 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.077 µg/kg,Below detection limit,,Feed-1-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,87.8740157480315,0.635,0.077,,True,High,Short,True,Perfluorooctanoic acid
PFNA,Perfluorononanoic acid,375-95-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.14 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.02 µg/kg,Below detection limit,,Feed-3-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,85.71428571428571,0.14,0.02,,True,High,Short,True,Perfluorononanoic acid
PFNA,Perfluorononanoic acid,375-95-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.216 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.02 µg/kg,Below detection limit,,Feed-2-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,90.74074074074075,0.216,0.02,,True,High,Short,True,Perfluorononanoic acid
PFNA,Perfluorononanoic acid,375-95-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.243 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.019 µg/kg,Below detection limit,,Feed-1-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,92.18106995884774,0.243,0.019,,True,High,Short,True,Perfluorononanoic acid
PFHxS,Perfluorohexyl sulfonate,355-46-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.037 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.03 µg/kg,Below detection limit,,Feed-2-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,18.918918918918916,0.037,0.03,,False,High,Short,True,Perfluorohexanesulfonic acid
PFHxS,Perfluorohexyl sulfonate,355-46-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.052 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.029 µg/kg,Below detection limit,,Feed-1-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,44.230769230769226,0.052,0.029,,False,High,Short,True,Perfluorohexanesulfonic acid
PFHxA,Perfluorohexanoic acid,307-24-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,1.64 µg/kg,Analyzed after the TOP assay,<0.02 µg/kg,Below detection limit,,Feed-2-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,98.78048780487805,1.64,0.02,,True,High,Short,True,Perfluorohexanoic acid
PFHxA,Perfluorohexanoic acid,307-24-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.954 µg/kg,Analyzed after the TOP assay,<0.02 µg/kg,Below detection limit,,Feed-3-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,97.9035639412998,0.954,0.02,,True,High,Short,True,Perfluorohexanoic acid
