Analyte Abv.,Analyte Name,CASRN,Treatment Process,Test Scale,Matrix,Matrix Detail,Treatment Temperature (°C),Treatment Time,Condition Details,Effectiveness (%),Effectiveness Type,Measure Details,Initial Concentration,Initial Details,Post Concentration,Post Details,Offgas Concentration,Additional Details,Citation
PFHpS,Perfluoroheptyl sulfonate,375-92-8 as acid,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 5 M of NaOH; Treatment time interpolated from figures,,,,59 ug/L,Interpolated from Figure 2,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 2; Text notes post-concentration below detection limit,Pinkard et al 2023
FtS 8:2,Fluorotelomer sulfonate 8:2,39108-34-4,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 5 M of NaOH; Treatment time interpolated from figures,,,,200 ug/L,Interpolated from Figure 2,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 2; Text notes post-concentration below detection limit,Pinkard et al 2023
FtS 6:2,Fluorotelomer sulfonate 6:2,27619-97-2,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 5 M of NaOH; Treatment time interpolated from figures,,,,1600 ug/L,Interpolated from Figure 2,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 2; Text notes post-concentration below detection limit,Pinkard et al 2023
PFOS,Perfluorooctylsulfonate,1763-23-1,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 5 M of NaOH; Treatment time interpolated from figures,,,,5600 ug/L,Interpolated from Figure 2,<0.5 ug/L,Below detection limit,,Initial concentration interpolated from Figure 2; Text notes post-concentration below detection limit,Pinkard et al 2023
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 5 M of NaOH; Treatment time interpolated from figures,,,,700 ug/L,Interpolated from Figure 2,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 2; Text notes post-concentration below detection limit,Pinkard et al 2023
FtS 8:2,Fluorotelomer sulfonate 8:2,39108-34-4,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 1 M of NaOH; Treatment time interpolated from figures,,,,19 ug/L,Interpolated from Figure 3,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 3; Text notes post-concentration below detection limit,Pinkard et al 2023
FtS 4:2,Fluorotelomer sulfonate 4:2,414911-30-1,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 1 M of NaOH; Treatment time interpolated from figures,,,,1 ug/L,Interpolated from Figure 3,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 3; Text notes post-concentration below detection limit,Pinkard et al 2023
PFBA,Perfluorobutanoic acid,375-22-4,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 1 M of NaOH; Treatment time interpolated from figures,,,,26 ug/L,Interpolated from Figure 3,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 3; Text notes post-concentration below detection limit,Pinkard et al 2023
PFPeA,Perfluoropentanoic acid,2706-90-3,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 1 M of NaOH; Treatment time interpolated from figures,,,,60 ug/L,Interpolated from Figure 3,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 3; Text notes post-concentration below detection limit,Pinkard et al 2023
PFBS,Perfluorobutyl sulfonate,375-73-5 as acid,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 1 M of NaOH; Treatment time interpolated from figures,,,,59 ug/L,Interpolated from Figure 3,68 ug/L,Interpolated from Figure 3,,Data interpolated from Figure 3,Pinkard et al 2023
PFHxA,Perfluorohexanoic acid,307-24-4,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 1 M of NaOH; Treatment time interpolated from figures,,,,95 ug/L,Interpolated from Figure 3,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 3; Text notes post-concentration below detection limit,Pinkard et al 2023
PFPeS,Perfluoropentanesulfonic acid,2706-91-4,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 1 M of NaOH; Treatment time interpolated from figures,,,,48 ug/L,Interpolated from Figure 3,52 ug/L,Interpolated from Figure 3,,Data interpolated from Figure 3,Pinkard et al 2023
PFHpS,Perfluoroheptyl sulfonate,375-92-8 as acid,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 1 M of NaOH; Treatment time interpolated from figures,,,,19 ug/L,Interpolated from Figure 3,17 ug/L,Interpolated from Figure 3,,Data interpolated from Figure 3,Pinkard et al 2023
PFHpA,Perfluoroheptanoic acid,375-85-9,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 1 M of NaOH; Treatment time interpolated from figures,,,,110 ug/L,Interpolated from Figure 3,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 3; Text notes post-concentration below detection limit,Pinkard et al 2023
FtS 6:2,Fluorotelomer sulfonate 6:2,27619-97-2,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 1 M of NaOH; Treatment time interpolated from figures,,,,280 ug/L,Interpolated from Figure 3,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 3; Text notes post-concentration below detection limit,Pinkard et al 2023
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 1 M of NaOH; Treatment time interpolated from figures,,,,410 ug/L,Interpolated from Figure 3,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 3; Text notes post-concentration below detection limit,Pinkard et al 2023
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 1 M of NaOH; Treatment time interpolated from figures,,,,220 ug/L,Interpolated from Figure 3,230 ug/L,Interpolated from Figure 3,,Data interpolated from Figure 3,Pinkard et al 2023
PFOS,Perfluorooctylsulfonate,1763-23-1,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 1 M of NaOH; Treatment time interpolated from figures,,,,1020 ug/L,Interpolated from Figure 3,520 ug/L,Interpolated from Figure 3,,Data interpolated from Figure 3,Pinkard et al 2023
FtS 8:2,Fluorotelomer sulfonate 8:2,39108-34-4,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 0.1 M of NaOH; Treatment time interpolated from figures,,,,19 ug/L,Interpolated from Figure 4,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 4; Text notes post-concentration below detection limit,Pinkard et al 2023
FtS 4:2,Fluorotelomer sulfonate 4:2,414911-30-1,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 0.1 M of NaOH; Treatment time interpolated from figures,,,,1 ug/L,Interpolated from Figure 4,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 4; Text notes post-concentration below detection limit,Pinkard et al 2023
PFBA,Perfluorobutanoic acid,375-22-4,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 0.1 M of NaOH; Treatment time interpolated from figures,,,,26 ug/L,Interpolated from Figure 4,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 4; Text notes post-concentration below detection limit,Pinkard et al 2023
PFPeA,Perfluoropentanoic acid,2706-90-3,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 0.1 M of NaOH; Treatment time interpolated from figures,,,,60 ug/L,Interpolated from Figure 4,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 4; Text notes post-concentration below detection limit,Pinkard et al 2023
PFHxA,Perfluorohexanoic acid,307-24-4,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 0.1 M of NaOH; Treatment time interpolated from figures,,,,95 ug/L,Interpolated from Figure 4,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 4; Text notes post-concentration below detection limit,Pinkard et al 2023
PFBS,Perfluorobutyl sulfonate,375-73-5 as acid,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 0.1 M of NaOH; Treatment time interpolated from figures,,,,59 ug/L,Interpolated from Figure 4,57 ug/L,Interpolated from Figure 4,,Data interpolated from Figure 4,Pinkard et al 2023
PFPeS,Perfluoropentanesulfonic acid,2706-91-4,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 0.1 M of NaOH; Treatment time interpolated from figures,,,,48 ug/L,Interpolated from Figure 4,46 ug/L,Interpolated from Figure 4,,Data interpolated from Figure 4,Pinkard et al 2023
PFHpS,Perfluoroheptyl sulfonate,375-92-8 as acid,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 0.1 M of NaOH; Treatment time interpolated from figures,,,,19 ug/L,Interpolated from Figure 4,19 ug/L,Interpolated from Figure 4,,Data interpolated from Figure 4,Pinkard et al 2023
FtS 6:2,Fluorotelomer sulfonate 6:2,27619-97-2,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 0.1 M of NaOH; Treatment time interpolated from figures,,,,280 ug/L,Interpolated from Figure 4,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 4; Text notes post-concentration below detection limit,Pinkard et al 2023
PFHpA,Perfluoroheptanoic acid,375-85-9,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 0.1 M of NaOH; Treatment time interpolated from figures,,,,110 ug/L,Interpolated from Figure 4,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 4; Text notes post-concentration below detection limit,Pinkard et al 2023
PFOA,Perflouorooctanoate,335-67-1,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 0.1 M of NaOH; Treatment time interpolated from figures,,,,410 ug/L,Interpolated from Figure 4,ND,Limit of detection not specified,,Initial concentration interpolated from Figure 4; Text notes post-concentration below detection limit,Pinkard et al 2023
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 0.1 M of NaOH; Treatment time interpolated from figures,,,,220 ug/L,Interpolated from Figure 4,220 ug/L,Interpolated from Figure 4,,Data interpolated from Figure 4,Pinkard et al 2023
PFOS,Perfluorooctylsulfonate,1763-23-1,Hydrothermal Treatment,Lab,Other,Aqueous film-forming foam impacted fire training pit water,350,2.5 minute,Addition of 0.1 M of NaOH; Treatment time interpolated from figures,,,,1020 ug/L,Interpolated from Figure 4,850 ug/L,Below detection limit,,Data interpolated from Figure 4,Pinkard et al 2023
PFUnA,Perfluoroundecanoic acid,2058-94-8,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,800,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.055 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.021 µg/kg,Below detection limit,,Feed-3-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023
PFUnA,Perfluoroundecanoic acid,2058-94-8,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,800,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.082 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.021 µg/kg,Below detection limit,,Feed-2-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023
PFUnA,Perfluoroundecanoic acid,2058-94-8,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,800,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.099 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.019 µg/kg,Below detection limit,,Feed-1-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023
PFUnA,Perfluoroundecanoic acid,2058-94-8,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,800,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.053 µg/kg,Analyzed with targeted PFAS analysis prior to the TOP assay; below quantification limit - reported as measured,<0.02 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023
PFUnA,Perfluoroundecanoic acid,2058-94-8,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,800,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.069 µg/kg,Analyzed with targeted PFAS analysis prior to the TOP assay; below quantification limit - reported as measured,<0.021 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023
PFUnA,Perfluoroundecanoic acid,2058-94-8,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,800,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.06 µg/kg,Analyzed with targeted PFAS analysis prior to the TOP assay; below quantification limit - reported as measured,<0.019 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023
PFTeDA,Perfluorotetradecanoic acid,376-06-7,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,800,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.024 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.021 µg/kg,Below detection limit,,Feed-3-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023
PFTeDA,Perfluorotetradecanoic acid,376-06-7,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,800,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.033 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.02 µg/kg,Below detection limit,,Feed-2-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023
PFTeDA,Perfluorotetradecanoic acid,376-06-7,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,800,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.036 µg/kg,Analyzed with targeted PFAS analysis prior to the TOP assay; below quantification limit - reported as measured,<0.021 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023
PFTeDA,Perfluorotetradecanoic acid,376-06-7,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,800,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.046 µg/kg,Analyzed after the TOP assay; below quantification limit - reported as measured,<0.019 µg/kg,Below detection limit,,Feed-1-TOP; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023
PFTeDA,Perfluorotetradecanoic acid,376-06-7,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,800,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.037 µg/kg,Analyzed with targeted PFAS analysis prior to the TOP assay; below quantification limit - reported as measured,<0.02 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023
PFTeDA,Perfluorotetradecanoic acid,376-06-7,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,800,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.034 µg/kg,Analyzed with targeted PFAS analysis prior to the TOP assay; below quantification limit - reported as measured,<0.019 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023
PFPeS,Perfluoropentanesulfonic acid,2706-91-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,800,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.067 µg/kg,Analyzed with targeted PFAS analysis prior to the TOP assay; below quantification limit - reported as measured,<0.021 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023
